


at:8	acertos:88.33	micro:0.92	macro:0.9	3800 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3800 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3800 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3800 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	3900 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	3900 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	3900 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	3900 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	4000 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	4000 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4000 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	4000 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.24	micro:0.92	macro:0.89	4100 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	4100 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4100 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.02	micro:0.94	macro:0.91	4100 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	4200 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.65	micro:0.51	macro:0.49	4200 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4200 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4200 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.24	micro:0.92	macro:0.89	4300 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.51	macro:0.49	4300 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4300 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4300 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	4400 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.51	macro:0.49	4400 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4400 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4400 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	4500 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.51	macro:0.49	4500 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4500 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4500 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	4600 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.51	macro:0.49	4600 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4600 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4600 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	4700 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.51	macro:0.49	4700 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4700 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4700 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.24	micro:0.92	macro:0.89	4800 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.51	macro:0.49	4800 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4800 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4800 selecionados	class weka.classifiers.lazy.IBk



at:8	acertos:88.33	micro:0.92	macro:0.9	4900 selecionados	class weka.classifiers.functions.SMO
at:8	acertos:34.74	micro:0.51	macro:0.49	4900 selecionados	class weka.classifiers.misc.HyperPipes
at:8	acertos:92.01	micro:0.95	macro:0.92	4900 selecionados	class weka.classifiers.lazy.IBk
at:8	acertos:91.11	micro:0.94	macro:0.91	4900 selecionados	class weka.classifiers.lazy.IBk
